央视卫视,#genre#
吉林卫视,http://192.168.1.1:8888/udp/239.93.12.86:5140#rtsp://182.135.123.41/PLTV/88888888/224/3221226257/00000100000000060000000000035224_0.smil
陕西卫视,http://192.168.1.1:8888/udp/239.93.12.176:5140#rtsp://182.135.123.41/PLTV/88888893/224/3221226746/10000100000000060000000001098318_0.smil
山西卫视,http://192.168.1.1:8888/udp/239.93.12.6:5140#rtsp://182.135.123.41/PLTV/88888893/224/3221226758/10000100000000060000000001098364_0.smil
内蒙古卫视,http://192.168.1.1:8888/udp/239.93.12.8:5140#rtsp://182.135.123.41/PLTV/88888893/224/3221226754/10000100000000060000000001098346_0.smil
青海卫视,http://192.168.1.1:8888/udp/239.93.12.192:5140#rtsp://182.135.123.41/PLTV/88888893/224/3221227149/10000100000000060000000001098347_0.smil
宁夏卫视,http://192.168.1.1:8888/udp/239.93.12.247:5140#rtsp://182.135.123.41/PLTV/88888893/224/3221226728/10000100000000060000000000988190_0.smil
西藏卫视,http://192.168.1.1:8888/udp/239.93.12.175:5140#rtsp://182.135.123.41/PLTV/88888893/224/3221226756/10000100000000060000000001098348_0.smil
新疆卫视,http://192.168.1.1:8888/udp/239.93.12.194:5140#rtsp://182.135.123.41/PLTV/88888893/224/3221227153/10000100000000060000000001098365_0.smil
甘肃卫视,http://192.168.1.1:8888/udp/239.93.12.191:5140#rtsp://182.135.123.41/PLTV/88888893/224/3221227139/10000100000000060000000001098315_0.smil
旅游卫视,http://192.168.1.1:8888/udp/239.93.12.80:5140#rtsp://182.135.123.41/PLTV/88888888/224/3221226301/00000100000000060000000000035246_0.smil
四川频道,#genre#
四川文化旅游频道,http://192.168.1.1:8888/udp/239.93.13.101:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221227905/10000100000000060000000003706211_0.smil
四川经济频道,http://192.168.1.1:8888/udp/239.93.13.102:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221227904/10000100000000060000000003706213_0.smil
四川新闻频道,http://192.168.1.1:8888/udp/239.93.12.241:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221228363/10000100000000060000000005212704_0.smil
四川影视文艺频道,http://192.168.1.1:8888/udp/239.93.12.166:5140#rtsp://182.135.123.41/PLTV/88888896/224/3221227947/10000100000000060000000003734394_0.smil
